ts_code,ann_date,nav_date,unit_nav,accum_nav,accum_div,net_asset,total_netasset,adj_nav,update_flag
014865.OF,20230120,20221231,1.0018,1.0018,,253589472.1,256537544.6,1.0018,1
015079.OF,20230421,20230331,0.9549,0.9549,,570600005.01,694476310.92,0.9549,1
015079.OF,20230120,20221231,0.9371,0.9371,,559627025.11,680984626.0,0.9371,1
013502.OF,20230421,20230331,0.984,0.984,,41409775.31,51442212.62,0.984,1
013502.OF,20230120,20221231,1.007,1.007,,41267536.46,49323549.44,1.007,1
014915.OF,20230422,20230331,0.8181,0.8181,,543383103.45,602745114.5,0.8181,1
014915.OF,20230121,20221231,0.8285,0.8285,,547933724.33,607292981.54,0.8285,1
015204.OF,20230420,20230331,0.9255,0.9255,,21314293.32,49215839.08,0.9255,1
015204.OF,20230120,20221231,0.8691,0.8691,,15688733.79,36837321.82,0.8691,1
010949.OF,20230421,20230331,1.0712,1.0712,,278188688.51,278188688.51,1.0712,1
010949.OF,20230120,20221231,1.0335,1.0335,,267865360.33,267865360.33,1.0335,1
012095.OF,20230421,20230331,0.9342,0.9342,,189254388.87,189620335.38,0.9342,1
012095.OF,20230120,20221231,0.9122,0.9122,,184768514.87,184872400.09,0.9122,1
013254.OF,20230421,20230331,0.9958,0.9958,,398366030.64,402198547.35,0.9958,1
013254.OF,20230120,20221231,0.9831,0.9831,,492426634.93,495005260.5,0.9831,1
012965.OF,20230421,20230331,1.0108,1.0108,,1514847244.39,1574194095.57,1.0108,1
012965.OF,20230118,20221231,0.9944,0.9944,,2222226606.93,2316900519.29,0.9944,1
013960.OF,20230421,20230331,0.9031,0.9031,,851694311.09,1127169256.62,0.9031,1
013960.OF,20230120,20221231,0.8501,0.8501,,897155407.62,1173155061.13,0.8501,1
014160.OF,20230421,20230331,0.9987,0.9987,,898212888.43,911849388.21,0.9987,1
014160.OF,20230120,20221231,0.993,0.993,,1029331373.64,1044664788.4,0.993,1
012765.OF,20230421,20230331,0.7867,0.7867,,792327933.03,1047231998.79,0.7867,1
012765.OF,20230120,20221231,0.8129,0.8129,,904172867.28,1208248464.94,0.8129,1
012410.OF,20230422,20230331,0.8011,0.8011,,155958278.4,236509960.23,0.8011,1
012410.OF,20230121,20221231,0.8673,0.8673,,165371589.38,336395698.22,0.8673,1
160646.OF,20230421,20230331,0.7931,0.7931,,6791097.79,59462775.79,0.7931,1
160646.OF,20230120,20221231,0.7426,0.7426,,6686812.19,64913903.55,0.7426,1
014232.OF,20230422,20230331,0.8812,0.8812,,319511591.15,592798071.84,0.8812,1
014232.OF,20230120,20221231,0.8028,0.8028,,300052408.15,558370496.32,0.8028,1
014362.OF,20230419,20230331,0.9551,0.9551,,6635255255.46,10296084610.64,0.9551,1
014362.OF,20230119,20221231,0.9321,0.9321,,6456971130.26,10018246031.22,0.9321,1
013471.OF,20230423,20230331,0.9369,0.9369,,27913740.59,74273095.06,0.9369,1
013471.OF,20230119,20221231,0.9244,0.9244,,24093837.71,63104360.27,0.9244,1
011841.OF,20230421,20230331,0.8324,0.8324,,958530495.49,1269314082.32,0.8324,1
011841.OF,20230120,20221231,0.8064,0.8064,,988055192.02,1302824757.64,0.8064,1
009467.OF,20230421,20230331,0.8766,0.8766,,159989524.65,202277278.61,0.8766,1
009467.OF,20230120,20221231,0.8553,0.8553,,161747925.45,205107180.82,0.8553,1
012703.OF,20230421,20230331,0.8101,0.8101,,480112810.7,535001310.57,0.8101,1
012703.OF,20230120,20221231,0.8128,0.8128,,492514429.98,553410414.72,0.8128,1
970080.OF,20230423,20230331,0.9868,1.0518,,1794185.38,1794185.38,0.9868,1
970080.OF,20230120,20221231,0.9962,1.0572,,1974209.9,1974209.9,0.9962,1
013385.OF,20230420,20230331,0.9112,0.9112,,1241970280.79,1357214456.69,0.9112,1
013385.OF,20230118,20221231,0.9142,0.9142,,1287442272.88,1417300254.53,0.9142,1
014036.OF,20230422,20230331,0.8612,0.8612,,373206321.32,451711332.46,0.8612,1
014036.OF,20230120,20221231,0.8109,0.8109,,363824562.13,441876269.79,0.8109,1
014193.OF,20230421,20230331,0.7525,0.7525,,183625442.65,277240305.97,0.7525,1
014193.OF,20230120,20221231,0.6567,0.6567,,119486809.59,184178584.82,0.6567,1
169109.OF,20230421,20230331,0.7517,0.7517,,2067161989.03,2118218714.78,0.7517,1
169109.OF,20230120,20221231,0.7265,0.7265,,1997924680.57,2047319995.64,0.7265,1
014094.OF,20230422,20230331,1.0573,1.0573,,528354662.94,564267136.95,1.0573,1
014094.OF,20230120,20221231,1.0014,1.0014,,821317320.2,873615800.58,1.0014,1
014148.OF,20230421,20230331,1.025,1.025,,180338109.98,246499462.67,1.025,1
014148.OF,20230120,20221231,1.0121,1.0121,,226525626.16,316794119.36,1.0121,1
014099.OF,20230422,20230331,0.7165,0.7165,,20396723.19,27334523.77,0.7165,1
014099.OF,20230120,20221231,0.7031,0.7031,,14945609.23,20629989.3,0.7031,1
013895.OF,20230421,20230331,0.8358,0.8358,,907535732.49,1215576951.75,0.8358,1
013895.OF,20230120,20221231,0.7626,0.7626,,858534963.91,1165315639.05,0.7626,1
013778.OF,20230421,20230331,0.987,0.987,,437642778.61,660721264.86,0.987,1
013778.OF,20230119,20221231,0.9593,0.9593,,469481483.85,712501713.14,0.9593,1
012561.OF,20230423,20230331,0.7072,0.7072,,21847920.32,61013121.85,0.7072,1
012561.OF,20230128,20221231,0.6949,0.6949,,20767188.5,59545382.08,0.6949,1
011803.OF,20230421,20230331,1.0881,1.0881,,1087075199.82,1170415685.63,1.0881,1
011803.OF,20230120,20221231,1.0406,1.0406,,295404454.06,386333599.85,1.0406,1
014110.OF,20230421,20230331,0.6913,0.6913,,53559614.26,243830400.32,0.6913,1
014110.OF,20230120,20221231,0.6974,0.6974,,42381252.2,198205684.72,0.6974,1
012554.OF,20230421,20230331,0.6999,0.6999,,70349545.37,121156927.09,0.6999,1
012554.OF,20230119,20221231,0.7103,0.7103,,68968322.62,105795716.25,0.7103,1
970101.OF,20230421,20230331,0.8547,1.8423,,31927200.77,57558234.0,0.8547,1
970101.OF,20230120,20221231,0.7645,1.7521,,29428738.24,48786024.66,0.7645,1
013878.OF,20230421,20230331,0.8603,0.8603,,85448579.27,92305176.71,0.8603,1
013878.OF,20230120,20221231,0.8331,0.8331,,93955035.38,102374444.35,0.8331,1
013490.OF,20230420,20230331,0.8093,0.8093,,2365978.39,8419828.63,0.8093,1
013490.OF,20230120,20221231,0.8291,0.8291,,2678419.87,9611195.88,0.8291,1
013940.OF,20230421,20230331,0.7014,0.7014,,94449322.89,143032689.91,0.7014,1
013940.OF,20230120,20221231,0.7678,0.7678,,118268730.7,170542534.58,0.7678,1
011980.OF,20230422,20230331,0.9266,0.9266,,301175690.72,394065651.26,0.9266,1
011980.OF,20230120,20221231,0.9047,0.9047,,348938289.64,429021086.8,0.9047,1
013985.OF,20230421,20230331,1.0143,1.0143,,167759943.4,170466440.66,1.0143,1
013985.OF,20230120,20221231,0.993,0.993,,227198136.15,230477292.6,0.993,1
012656.OF,20230421,20230331,0.9853,0.9853,,308151746.49,369444960.3,0.9853,1
012656.OF,20230120,20221231,0.9668,0.9668,,338568962.59,404277144.15,0.9668,1
013980.OF,20230421,20230331,0.97,0.97,,17165031.77,51650243.85,0.97,1
013980.OF,20230120,20221231,0.9573,0.9573,,18080721.08,53896404.49,0.9573,1
013687.OF,20230421,20230331,0.7593,0.7593,,118617460.79,168083469.93,0.7593,1
013687.OF,20230119,20221231,0.7433,0.7433,,121221072.05,172281163.0,0.7433,1
013726.OF,20230421,20230331,0.9416,0.9416,,328044190.31,337621587.04,0.9416,1
013726.OF,20230119,20221231,0.9356,0.9356,,351379836.38,361502553.45,0.9356,1
013869.OF,20230421,20230331,0.7683,0.7683,,20431658.55,33289860.33,0.7683,1
013869.OF,20230120,20221231,0.6734,0.6734,,17708131.04,29596259.0,0.6734,1
013661.OF,20230421,20230331,0.862,0.862,,835959912.57,976321234.25,0.862,1
013661.OF,20230120,20221231,0.8074,0.8074,,804967885.87,938546949.33,0.8074,1
013920.OF,20230421,20230331,0.8661,0.8661,,20810667.93,26521985.43,0.8661,1
013920.OF,20230120,20221231,0.8562,0.8562,,21652595.72,27584858.8,0.8562,1
014144.OF,20230421,20230331,0.7507,0.7507,,399757944.01,515710805.99,0.7507,1
014144.OF,20230120,20221231,0.8096,0.8096,,437252778.26,557575417.5,0.8096,1
013463.OF,20230421,20230331,1.1144,1.1144,,175433495.82,186666308.73,1.1144,1
013463.OF,20230118,20221231,1.0275,1.0275,,263313515.43,276527765.19,1.0275,1
