ts_code,trade_date,close,open,high,low,vol,amount
000016.SH,20210326,3529.73,3516.66,3558.94,3439.51,12541681700.0,323271808690.0
000016.SH,20210319,3512.02,3620.04,3627.31,3496.38,15020060500.0,378436365426.0
000016.SH,20210312,3632.58,3713.46,3732.78,3489.97,17838925500.0,478436899403.0
000016.SH,20210305,3688.68,3793.37,3818.07,3627.29,17796478300.0,498782594293.0
000016.SH,20210226,3756.86,4020.01,4020.01,3753.44,22978805800.0,612142890238.0
000016.SH,20210219,4014.46,4097.87,4110.18,3956.98,9410281100.0,264515779185.0
000016.SH,20210210,4028.53,3856.94,4039.23,3835.1,10503855500.0,304506289782.0
000016.SH,20210205,3840.77,3712.78,3876.68,3699.2,16470448300.0,508391487036.0
000016.SH,20210129,3713.25,3843.49,3903.19,3675.49,15841051100.0,527868864700.0
000016.SH,20210122,3846.39,3807.99,3874.67,3790.54,19435749200.0,588905382592.0
000016.SH,20210115,3817.93,3794.83,3931.95,3763.15,25740481800.0,707954297101.0
000016.SH,20210108,3788.32,3632.69,3833.86,3608.34,22045020000.0,629176245159.0
000016.SH,20201231,3640.64,3514.71,3646.75,3503.97,11578996900.0,326964328479.0
000016.SH,20201225,3512.49,3505.91,3531.42,3467.53,13000905600.0,385004550875.0
000016.SH,20201218,3507.97,3443.03,3543.73,3435.31,12696793100.0,353867974788.0
000016.SH,20201211,3427.86,3547.93,3548.78,3404.93,16317624300.0,331763726286.0
000016.SH,20201204,3541.52,3509.66,3570.22,3469.42,24533096600.0,420019107434.0
000016.SH,20201127,3498.66,3427.78,3498.66,3414.06,21152196200.0,376485448523.0
000016.SH,20201120,3411.93,3352.69,3415.86,3344.4,17133188400.0,343589266791.0
000016.SH,20201113,3338.31,3382.8,3440.56,3318.45,18770714200.0,405566599856.0
000016.SH,20201106,3359.12,3280.62,3386.98,3249.96,16340484600.0,347033869151.0
000016.SH,20201030,3280.38,3320.03,3351.12,3271.27,15446556200.0,330313729728.0
000016.SH,20201023,3346.61,3398.75,3430.56,3328.32,16029716600.0,306512175578.0
000016.SH,20201016,3380.17,3302.98,3400.42,3302.62,15584197500.0,327474370819.0
000016.SH,20201009,3286.86,3281.46,3296.67,3274.19,2462439400.0,64079382336.0
000016.SH,20200930,3232.42,3237.3,3269.31,3218.55,6269706200.0,133909562112.0
000016.SH,20200925,3229.78,3359.23,3360.92,3214.7,12364527300.0,276998183403.0
000016.SH,20200918,3347.78,3283.93,3347.78,3253.52,13267254600.0,320152606279.0
000016.SH,20200911,3265.5,3303.64,3328.72,3217.15,14854132200.0,320889678224.0
000016.SH,20200904,3309.21,3386.62,3408.58,3283.31,17377382500.0,366680663812.0
000016.SH,20200828,3368.44,3306.56,3372.74,3257.57,15818304300.0,351295284233.0
000016.SH,20200821,3284.73,3300.9,3397.5,3252.18,23286567700.0,450220534132.0
000016.SH,20200814,3288.51,3250.54,3333.75,3199.55,23195870000.0,468771186006.0
000016.SH,20200807,3263.75,3271.18,3329.56,3219.42,25434558900.0,544809744805.0
000016.SH,20200731,3249.34,3178.05,3284.38,3136.03,19599344800.0,444853051482.0
000016.SH,20200724,3158.29,3219.92,3354.72,3136.64,27826698700.0,566233553285.0
000016.SH,20200717,3185.89,3338.71,3421.94,3151.22,35135477900.0,663390481493.0
000016.SH,20200710,3351.78,3198.74,3466.63,3198.74,48623017900.0,862205327786.0
000016.SH,20200703,3159.16,2935.54,3159.17,2909.45,24760026600.0,459652079885.0
000016.SH,20200624,2943.47,2921.3,2947.61,2902.12,9498268600.0,193442028395.0
000016.SH,20200619,2925.94,2862.49,2933.9,2838.61,14054510800.0,262682272587.0
000016.SH,20200612,2884.12,2907.68,2931.54,2837.55,13951366200.0,241303465656.0
000016.SH,20200605,2896.35,2832.22,2922.78,2832.22,12614279100.0,226678156681.0
000016.SH,20200529,2806.66,2784.43,2830.46,2762.3,10095968300.0,174728630205.0
000016.SH,20200522,2775.81,2821.73,2872.7,2775.31,11032405800.0,207228462721.0
000016.SH,20200515,2819.69,2876.77,2897.99,2818.37,10425372200.0,195106088776.0
000015.SH,20230621,2843.66,2938.43,2938.43,2843.08,6445573100.0,40155320768.0
000015.SH,20230616,2935.91,2993.06,2993.28,2930.66,11419259000.0,74170363535.0
000015.SH,20230609,2998.98,2956.05,3022.57,2947.14,12160825500.0,80868309620.0
000015.SH,20230602,2960.28,2968.52,3024.88,2947.08,12263741300.0,84937568916.0
000015.SH,20230526,2977.62,3048.2,3065.7,2920.76,13567722200.0,85504219540.0
000015.SH,20230519,3059.54,3109.86,3132.34,3044.59,15884661200.0,98562249748.0
000015.SH,20230512,3115.16,3150.27,3283.44,3110.83,27681401600.0,176010651549.0
000015.SH,20230505,3160.78,3049.8,3178.93,3043.05,10163431600.0,63940070933.0
000015.SH,20230428,3056.72,3001.51,3058.47,2973.52,15182288600.0,99190452087.0
000015.SH,20230421,2994.74,2966.82,3045.54,2959.86,14136108400.0,93929813873.0
000015.SH,20230414,2971.07,2916.56,2991.07,2905.13,11364268000.0,75905617822.0
000015.SH,20230407,2916.92,2904.7,2941.51,2904.52,8648464100.0,59050366674.0
000015.SH,20230331,2899.69,2891.46,2911.89,2859.63,11761587800.0,80569615753.0
000015.SH,20230324,2894.38,2923.03,2946.07,2890.03,12138386200.0,75155905120.0
000015.SH,20230317,2917.6,2873.35,2938.57,2873.35,13439491700.0,82066195398.0
000015.SH,20230310,2876.76,2952.45,2977.1,2874.85,13893248800.0,87377312224.0
000015.SH,20230303,2950.45,2889.58,2952.98,2879.53,10188659100.0,70718663263.0
000015.SH,20230224,2890.05,2806.42,2916.47,2805.89,9428133600.0,74248930946.0
000015.SH,20230217,2797.94,2799.71,2831.44,2776.82,8871499900.0,64608133591.0
000015.SH,20230210,2799.19,2783.66,2808.98,2773.83,6829778100.0,50120571544.0
000015.SH,20230203,2794.87,2835.81,2838.08,2783.27,9392161100.0,68978427765.0
000015.SH,20230120,2816.34,2781.43,2816.34,2770.5,8279211100.0,57969360385.0
000015.SH,20230113,2774.12,2767.58,2774.8,2737.5,8548993000.0,65114119435.0
000015.SH,20230106,2758.46,2727.03,2768.48,2717.46,7974471900.0,54847272855.0
000015.SH,20221230,2725.07,2712.83,2745.63,2700.64,7508890000.0,47934474640.0
000015.SH,20221223,2712.97,2816.08,2822.84,2701.69,6819186800.0,46183009089.0
000015.SH,20221216,2820.12,2853.1,2866.43,2779.93,9691326300.0,70171370613.0
000015.SH,20221209,2852.27,2812.76,2859.91,2795.22,13649333800.0,101425314609.0
000015.SH,20221202,2794.75,2756.63,2880.61,2737.42,13968384800.0,106385945973.0
000015.SH,20221125,2789.5,2680.29,2791.39,2659.79,11342365000.0,80605981780.0
000015.SH,20221118,2692.36,2774.31,2790.2,2691.43,10506244900.0,87980583884.0
000015.SH,20221111,2743.89,2649.45,2758.87,2635.03,9773590700.0,73675157868.0
000015.SH,20221104,2654.98,2609.22,2669.76,2545.56,12857105000.0,91402896382.0
000015.SH,20221028,2625.76,2762.11,2770.9,2621.08,11939146200.0,82296913349.0
000015.SH,20221021,2763.97,2776.91,2797.83,2735.44,8595347200.0,67204675391.0
000015.SH,20221014,2788.75,2786.31,2832.77,2737.98,10205025400.0,75902883569.0
000015.SH,20220930,2774.36,2793.75,2815.44,2724.79,9034879100.0,67372637859.0
000015.SH,20220923,2811.06,2794.52,2853.95,2775.28,9512440400.0,72855703014.0
000015.SH,20220916,2797.17,2930.87,2930.87,2797.17,9001327500.0,72883311749.0
000015.SH,20220909,2926.17,2811.31,2930.42,2800.26,9165893700.0,81929393265.0
000015.SH,20220902,2800.15,2782.45,2838.22,2759.23,9126425200.0,77031274984.0
000015.SH,20220826,2801.69,2769.55,2827.22,2758.55,8161193900.0,76973798460.0
000015.SH,20220819,2769.1,2739.57,2785.25,2734.16,7750562800.0,69852665377.0
000015.SH,20220812,2737.35,2648.54,2743.06,2645.43,6937966600.0,58559202931.0
000015.SH,20220805,2651.21,2724.11,2740.79,2619.77,9277586400.0,74367526417.0
000015.SH,20220729,2724.93,2700.79,2758.55,2695.71,8074009100.0,66853545757.0
000015.SH,20220722,2698.04,2703.14,2777.58,2683.84,9647575100.0,77379933356.0
000015.SH,20220715,2691.36,2809.03,2821.62,2691.36,14323846700.0,96899309496.0
000015.SH,20220708,2825.78,2885.66,2921.03,2817.26,11183838700.0,92057997424.0
