index_code,名称,trade_year,trade_week,trade_date,total_mv,total_earnings,total_earnings_ttm,total_book_value,pe,pb,pe_ttm,ts_code,close,open,high,low,vol,amount
000015.SH,红利指数,2021,28,20210716,932466399.32,155866494.71785975,163034627.6785479,1422269836.5920563,5.982468528646232,0.6556184876663848,5.719437720669534,000015.SH,2869.72,2807.0,2889.04,2792.87,13009803500.0,97938051253.0
000015.SH,红利指数,2021,29,20210723,919562313.07,155866534.09646004,163060457.32770786,1407111082.5979168,5.899677685146427,0.6535108169088067,5.639394909962297,000015.SH,2818.02,2881.9,2883.42,2812.62,11028781500.0,83774261477.0
000015.SH,红利指数,2021,30,20210730,885617563.64,155866641.32875,163059809.992702,1404326171.9722426,5.681892905949501,0.6306352336909269,5.431243687084127,000015.SH,2719.28,2821.53,2821.53,2639.93,13297074900.0,99865516112.0
000015.SH,红利指数,2021,31,20210806,883613838.42,155866784.78661087,163060521.54481548,1405562863.3964887,5.669032306207572,0.628654798323841,5.4189317564346675,000015.SH,2677.74,2690.48,2695.48,2639.4,11376911100.0,90582393816.0
000015.SH,红利指数,2021,32,20210813,907050470.44,155866663.31279576,163060128.53879666,1405362065.0704384,5.819400063884837,0.645421199977059,5.562674815530928,000015.SH,2795.58,2678.19,2810.92,2671.47,12319514700.0,103307878738.0
000015.SH,红利指数,2021,33,20210820,908485132.26,155867456.6751829,163351961.4160404,1405532737.3016498,5.828574813748458,0.6463635518046454,5.561519582530039,000015.SH,2784.54,2799.83,2820.42,2752.12,12863218800.0,103067892263.0
000015.SH,红利指数,2021,34,20210827,912177231.33,155866710.9385272,164634532.57549912,1410747457.7589371,5.852290241049333,0.6465914408090107,5.540619073411516,000015.SH,2921.8,2801.37,2923.92,2797.52,11511112200.0,96084846471.0
000015.SH,红利指数,2021,35,20210903,948368379.3100001,155866966.97077417,173824622.95882648,1446368984.2370248,6.084473174407916,0.6556891012221716,5.455892054686857,000015.SH,3067.44,2930.19,3089.62,2914.37,17125699700.0,145469200239.0
000015.SH,红利指数,2021,36,20210910,981986567.39,155866988.64244962,173824374.62365615,1446283984.1753805,6.300157435148912,0.6789721646194496,5.64930303656251,000015.SH,3244.18,3081.14,3314.98,3064.35,19462102700.0,163523703409.0
000015.SH,红利指数,2021,37,20210917,955653032.68,155867154.79789013,173825024.04755417,1444363493.0592484,6.131202137609918,0.6616430263381066,5.497787432599792,000015.SH,3130.4,3248.96,3333.2,3082.86,18142268100.0,156566907803.0
000015.SH,红利指数,2021,38,20210924,941202283.02,155866835.1728104,173824667.81686196,1444371367.7609851,6.038502558780281,0.651634547754169,5.414664643637525,000015.SH,3059.12,3098.74,3248.43,3055.23,9438844800.0,81743822368.0
000015.SH,红利指数,2021,39,20210930,938790249.09,155867144.90094206,173825039.43117434,1444336990.8259962,6.023015624534777,0.6499800635536718,5.400776851034238,000015.SH,2982.22,3072.18,3078.9,2932.86,12099827600.0,96326945623.0
000015.SH,红利指数,2021,40,20211008,944488554.94,155867203.8566365,173825094.87437487,1444345496.6979098,6.059572068853699,0.6539214869983032,5.4335569649629205,000015.SH,2969.39,3014.52,3020.19,2943.18,2905235300.0,22541532422.0
000015.SH,红利指数,2021,41,20211015,944958496.39,155866611.4782025,173900742.77999118,1443752144.6113577,6.062610121745989,0.6545157352090878,5.433895688332424,000015.SH,2933.65,2972.4,3050.1,2890.24,12268587500.0,104801925158.0
000015.SH,红利指数,2021,42,20211022,945031624.34,155867625.89635828,173848995.04121417,1444232832.8968892,6.063039832071246,0.65434852526128,5.435933777563468,000015.SH,2892.18,2928.57,3009.91,2888.05,12110492700.0,106291269812.0
000015.SH,红利指数,2021,43,20211029,918947365.01,155866956.1413126,172771978.2048791,1460979703.1547422,5.895716370934074,0.628993929912706,5.318844957139286,000015.SH,2739.79,2891.84,2902.96,2715.84,11099493800.0,93155235844.0
000015.SH,红利指数,2021,44,20211105,909301223.88,155867268.04577455,176553523.52324414,1488889071.1015563,5.833817678853264,0.6107246278644872,5.150286472534127,000015.SH,2683.03,2724.04,2757.53,2665.32,11952881900.0,95031124864.0
000015.SH,红利指数,2021,45,20211112,914983093.79,155867651.36667714,176553802.78699178,1488840719.915061,5.870256501379566,0.6145607663405392,5.182460413463349,000015.SH,2699.44,2691.83,2718.67,2627.51,10706761000.0,92549190549.0
000015.SH,红利指数,2021,46,20211119,917507657.11,155867438.1615099,176553663.59563574,1488860966.9993591,5.886461392656484,0.616248042931194,5.1967636265616415,000015.SH,2730.81,2693.5,2734.36,2675.79,9474207900.0,73768097853.0
000015.SH,红利指数,2021,47,20211126,909279330.73,155866910.31806713,176553138.71044773,1488916266.5310175,5.833690607419463,0.6106987687417126,5.15017369485141,000015.SH,2724.09,2733.13,2781.18,2720.96,10267767300.0,83451236916.0
000015.SH,红利指数,2021,48,20211203,922884381.47,155867494.88264388,176553131.40531987,1488856654.4156919,5.920954732510844,0.6198611389033889,5.227233151426233,000015.SH,2769.04,2687.44,2779.88,2676.32,10907969700.0,86651674943.0
000015.SH,红利指数,2021,49,20211210,930446417.98,155867139.21043837,176554122.40116796,1488913936.4438484,5.9694841561426975,0.6249161856878691,5.270035076642565,000015.SH,2766.66,2768.13,2796.3,2744.1,15615984100.0,130003490389.0
000015.SH,红利指数,2021,50,20211217,926805430.67,155867154.60066676,176553268.33142114,1488842200.2882752,5.946124012108163,0.6225007797942242,5.249437970925722,000015.SH,2766.71,2771.89,2793.9,2725.17,11391341200.0,90327090210.0
000015.SH,红利指数,2021,51,20211224,932245497.86,155867200.40994164,176552966.92226812,1488865121.3783355,5.981024201423578,0.6261450311878903,5.280259596376222,000015.SH,2776.98,2762.96,2793.0,2737.78,9824930900.0,76336877717.0
000015.SH,红利指数,2021,52,20211231,930616350.92,155867107.74191642,176553379.52884713,1488854417.6185796,5.970575603808005,0.625055304203966,5.27101975279916,000015.SH,2792.7,2781.31,2801.15,2755.45,8662933200.0,68407812009.0
000015.SH,红利指数,2022,1,20220107,897822777.25,150015636.04792586,169541914.67916068,1436450748.5688846,5.984861317810701,0.6250285839208117,5.2955800278003835,000015.SH,2842.12,2811.45,2867.97,2806.0,11520567900.0,84422079091.0
000015.SH,红利指数,2022,2,20220114,886620999.57,150016036.76735824,169938046.30543587,1440867153.9082768,5.910174796478283,0.6153384766701684,5.217319010343592,000015.SH,2826.07,2841.62,2900.61,2824.74,13691226100.0,100198900181.0
000015.SH,红利指数,2022,3,20220121,901525802.83,150015604.96403053,169951489.778534,1431211058.1761918,6.009546827119487,0.6299041624083204,5.304606649843376,000015.SH,2842.1,2830.72,2887.96,2819.83,12241827100.0,94021333849.0
000015.SH,红利指数,2022,4,20220128,882757572.15,150016021.70609155,169951991.56843406,1430066877.3555503,5.884421957805822,0.6172841187556045,5.194158444413066,000015.SH,2721.72,2834.53,2844.51,2702.47,10652406600.0,75761563363.0
000015.SH,红利指数,2022,6,20220211,936779093.16,150015167.2873305,169951750.06208357,1440536780.5388873,6.2445625339053,0.6502986288274863,5.5120296955917985,000015.SH,2910.34,2749.13,2938.73,2749.13,15549302400.0,111791028458.0
000015.SH,红利指数,2022,7,20220218,929600939.36,150015475.19379705,170027282.89728782,1441092731.025902,6.19670029481357,0.6450667048318429,5.467363375568172,000015.SH,2915.95,2905.99,2916.49,2836.49,10986426800.0,82922669082.0
000015.SH,红利指数,2022,8,20220225,900306546.28,150015847.1479699,170063571.79247028,1441064007.2873123,6.001409607026196,0.6247512544392494,5.29394118205779,000015.SH,2856.33,2917.59,2936.95,2837.53,11936066000.0,90384778071.0
000015.SH,红利指数,2022,9,20220304,921500407.11,150015905.18947014,170230050.82208437,1440457849.0255203,6.142684710305515,0.6397274364768128,5.413265182380193,000015.SH,2957.92,2856.14,2979.01,2830.25,11305590700.0,85785983910.0
000015.SH,红利指数,2022,10,20220311,898859286.25,149993347.4724948,170203954.6180692,1440351015.3230948,5.992661017281645,0.6240557174518816,5.281071689944008,000015.SH,2865.48,2970.07,2977.05,2730.79,14295902400.0,104531842882.0
000015.SH,红利指数,2022,11,20220318,889532992.5,150130103.6010685,170204442.30275726,1440397626.8362916,5.925080787686002,0.6175607179066117,5.226261902833953,000015.SH,2825.16,2846.45,2895.24,2606.29,16583719100.0,116608706198.0
000015.SH,红利指数,2022,12,20220325,903999058.55,152526086.19342217,170226733.43718126,1440211715.3184874,5.926848849996819,0.6276848389266784,5.310558690146061,000015.SH,2898.38,2825.19,2929.21,2813.61,11635964800.0,92754983496.0
000015.SH,红利指数,2022,13,20220401,945672553.15,171790749.66793853,173466420.4091315,1470296214.4962912,5.504793214872918,0.6431850560629907,5.451617384618715,000015.SH,3025.78,2890.31,3031.05,2869.95,15210868200.0,114855120323.0
000015.SH,红利指数,2022,14,20220408,952021678.3199999,171790470.75702757,173466170.17581028,1470314450.08164,5.541760693272067,0.647495288009404,5.488226766954694,000015.SH,3042.41,3029.53,3077.09,2979.94,10123105700.0,75408037568.0
000015.SH,红利指数,2022,15,20220415,949938655.46,171880885.0756772,173486404.11132172,1470568625.8336122,5.526726576034053,0.645966899315232,5.4755798318953515,000015.SH,3027.93,3034.85,3096.62,2964.36,14950225400.0,120036567333.0
000015.SH,红利指数,2022,16,20220422,941653646.0,171920533.6601265,173399687.60974938,1473417881.272768,5.477261069126134,0.6390947591776073,5.430538307077409,000015.SH,2896.11,2992.62,3018.34,2830.93,13396823900.0,104014881920.0
000015.SH,红利指数,2022,17,20220429,928138236.08,172284184.97145995,174004072.40363663,1483275478.5975137,5.387251512573557,0.6257355760762563,5.334002953258479,000015.SH,2852.28,2856.64,2857.59,2701.9,17049498500.0,121056868790.0
